data_hora,seed_cenario,seed_genetico,linhas,colunas,produtos,algoritmo,sucesso,passos,tempo_planejamento_ms,tempo_simulado_s,produtos_entregues,curvas,celulas_unicas,revisitas,percentual_revisita,passos_por_entrega,gap_otimo_percentual,sobreposicao_rotas_percentual,concordancia_ordem_produtos_percentual,concordancia_ordem_docas_percentual,atingiu_otimo,planejador_mais_rapido,razao_tempo_planejamento,nos_expandidos,nos_gerados,fronteira_maxima,nos_expandidos_navegacao,buscas_a_estrela_navegacao,geracoes,melhor_geracao,melhor_aptidao,sem_melhoria,memoria_pico_kib,ordem_produtos,ordem_docas
2026-07-21T10:11:24,20260721,1577221806,35,55,8,A*,True,1206,175.625,34.460,8,,,,,,,,,,,,,48974,52967,,,,,,,,377.0908203125,7-6-1-8-5-3-2-4,5-8-7-6-4-1-2-3
2026-07-21T10:11:24,20260721,1577221806,35,55,8,Genético,True,1196,1353.175,34.174,8,,,,,,,,,,,,,55490,59834,,,,97,,0.000835421888053467,,475.1943359375,1-8-6-5-7-2-3-4,8-7-6-5-4-2-1-3
2026-07-21T10:12:55,156538504,1449381719,35,55,7,A*,True,649,47.885,18.557,7,,,,,,,,,,,,,13834,16150,,,,,,,,132.935546875,1-4-5-7-3-2-6,1-4-5-3-2-6-7
2026-07-21T10:12:55,156538504,1449381719,35,55,7,Genético,True,625,886.788,17.858,7,,,,,,,,,,,,,16473,18871,,,,72,,0.001597444089456869,,199.029296875,4-6-2-1-3-5-7,4-5-2-1-3-6-7
2026-07-21T10:13:08,156538504,1449381719,35,55,7,A*,True,649,48.289,18.596,7,,,,,,,,,,,,,13834,16150,,,,,,,,126.169921875,1-4-5-7-3-2-6,1-4-5-3-2-6-7
2026-07-21T10:13:08,156538504,1449381719,35,55,7,Genético,True,625,1423.430,17.868,7,,,,,,,,,,,,,16473,18871,,,,72,,0.001597444089456869,,151.935546875,4-6-2-1-3-5-7,4-5-2-1-3-6-7
2026-07-21T10:15:50,20260721,1577221806,35,55,8,A*,True,1206,254.197,34.464,8,,,,,,,,,,,,,48974,52967,,,,,,,,377.0908203125,7-6-1-8-5-3-2-4,5-8-7-6-4-1-2-3
2026-07-21T10:15:50,20260721,1577221806,35,55,8,Genético,True,1196,2015.646,34.176,8,,,,,,,,,,,,,55490,59834,,,,97,,0.000835421888053467,,475.1943359375,1-8-6-5-7-2-3-4,8-7-6-5-4-2-1-3
2026-07-21T10:25:35,20260721,1577221806,35,55,8,A*,True,1196,7350.571,34.187,8,,,,,,,,,,,,,47628,107190,,,,,,,,32023.177734375,5-8-6-1-7-2-4-3,7-8-6-4-5-2-1-3
2026-07-21T10:25:35,20260721,1577221806,35,55,8,Genético,True,1196,1580.617,34.187,8,,,,,,,,,,,,,55490,59834,,,,97,,0.000835421888053467,,481.1240234375,1-8-6-5-7-2-3-4,8-7-6-5-4-2-1-3
2026-07-21T10:25:53,20260721,1577221806,35,55,4,A*,True,762,67.324,21.828,4,,,,,,,,,,,,,79,186,,,,,,,,342.732421875,2-1-4-3,4-3-1-2
